School Name,School ID,School Network
James Shields Elementary School,610174,Network 8
Moving Everest Charter School,400178,Charter
L.E.A.R.N. - Charles and Dorothy Campbell Campus,400047,Charter
John H Kinzie Elementary School,610026,ISP
Burnham Elementary Inclusive Academy,609821,Network 13
Marquette Elementary School,610053,AUSL
Brian Piccolo Elementary Specialty School,610106,AUSL
George Manierre Elementary School,610048,Network 4
Jordan Elementary Community School,609865,Network 2
Anna R. Langford Community Academy,609869,Network 11
Southside Occupational Academy High School,609745,ISP
Hyman G Rickover Naval Academy High School,610390,ISP
Josefa Ortiz De Dominguez Elementary School,609950,ISP
Eliza Chappell Elementary School,609852,ISP
Noble - Gary Comer College Prep,400052,Charter
Jose De Diego Elementary Community Academy,610313,Network 5
James B McPherson Elementary School,610070,Network 2
Wolfgang A Mozart Elementary School,610088,Network 4
William Bishop Owen Scholastic Academy ES,610109,Network 10
Frederick A Douglass Academy High School,610245,Network 15
Ronald E McNair Elementary School,610282,AUSL
Sharon Christa McAuliffe Elementary School,609968,Network 4
George Westinghouse College Prep,609693,Network 15
Dvorak Technology Academy,610254,AUSL
James E McDade Elementary Classical School,610066,Network 12
"YCCS-ASPIRA,Antonia Pantoja Alternative HS",400125,Options
John M Smyth Elementary School,610180,Network 6
Theodore Roosevelt High School,609728,Network 14
Norwood Park Elementary School,610099,Network 1
Michele Clark Academic Prep Magnet High School,610244,ISP
Avondale-Logandale Elementary School,610325,Network 4
Edward K Ellington Elementary School,609904,Network 3
Edward Tilden Career Community Academy HS,609735,Network 16
CICS - Irving Park,400027,Charter
Mark Skinner Elementary School,610177,ISP
Tarkington School of Excellence ES,610396,AUSL
Camelot - Chicago Excel Academy,400147,Options
John B Drake Elementary School,609894,Network 9
Peace & Education Coalition HS,610386,ISP
Nancy B Jefferson Alternative HS,609783,Network 16
John W Cook Elementary School,609864,Network 11
Nicholas Senn High School,609730,Network 14
Nathan Hale Elementary School,609960,Network 10
Rodolfo Lozano Bilingual & International Ctr ES,610029,nan
Rudyard Kipling Elementary School,610027,ISP
Acero Charter Schools - Carlos Fuentes,400082,Charter
L.E.A.R.N. - South Chicago Campus,400107,Charter
Thomas J Higgins Elementary Community Academy,610295,Network 13
William Penn Elementary School,610123,Network 5
Louis Nettelhorst Elementary School,610094,Network 4
Wells Community Academy High School,609740,Network 15
William T Sherman Elementary School,610172,AUSL
William B Ogden Elementary School,610101,Network 15
Disney II Magnet High School,610564,nan
Grover Cleveland Elementary School,609857,Network 1
Roald Amundsen High School,609695,ISP
William Jones College Preparatory High School,609678,ISP
Adam Clayton Powell Paideia Community Academy ES,610281,Network 12
William G Hibbard Elementary School,609994,Network 1
Austin College and Career Academy High School,610518,Network 15
William H Ray Elementary School,610142,Network 9
Camelot Excel - Southwest HS,400176,Options
Joyce Kilmer Elementary School,610022,Network 2
Mark Sheridan Math & Science Academy,610081,ISP
Edward Beasley Elementary Magnet Academic Center,610246,Network 9
Paul Revere Elementary School,610146,Network 12
Horace Mann Elementary School,610052,Network 12
Charles N Holden Elementary School,609996,ISP
Albert G Lane Technical High School,609720,Network 14
Kelvyn Park High School,609716,Network 14
Edward Everett Elementary School,609909,Network 8
Albert R Sabin Elementary Magnet School,610342,Network 6
Ravenswood Elementary School,610141,Network 2
YCCS-Jane Addams Alternative HS,400134,Options
Milton Brunson Math & Science Specialty ES,609830,Network 3
John Hay Elementary Community Academy,609975,Network 3
YCCS-Truman Middle College HS,400141,Options
Patrick Henry Elementary School,609988,Network 1
Mary E Courtenay Elementary Language Arts Center,610355,Network 2
Ombudsman Chicago - South,610570,Options
Greater Lawndale High School For Social Justice,610383,Network 15
CICS - Northtown,400034,Charter
Josephine C Locke Elementary School,610041,Network 3
University of Chicago - Woodlawn,400077,Charter
YCCS-CCA Academy HS,400128,Options
Carl von Linne Elementary School,610039,ISP
John F Eberhart Elementary School,609898,ISP
Helen M Hefferan Elementary School,609985,ISP
George W Curtis Elementary School,609900,AUSL
YCCS-West Town Acad Alternative HS,400143,Options
Jonathan Y Scammon Elementary School,610159,Network 1
LaSalle Elementary Language Academy,610033,Network 4
Washington Irving Elementary School,610121,Network 6
Hyde Park Academy High School,609713,Network 17
Frazier Prospective IB Magnet ES,610503,Network 5
Charles H Wacker Elementary School,610366,ISP
Benjamin E Mays Elementary Academy,610290,Network 11
Chicago Academy High School,610340,AUSL
Henry R Clissold Elementary School,609861,Network 10
Rufus M Hitch Elementary School,609995,ISP
Lincoln Park High School,609738,Network 14
North River Elementary School,610354,Network 1
William K New Sullivan Elementary School,610193,Network 12
Salmon P Chase Elementary School,609853,Network 4
Thomas Kelly College Preparatory,609715,Network 16
Joseph Kellman Corporate Community ES,609925,Network 5
James Russell Lowell Elementary School,610044,Network 5
John C Burroughs Elementary School,609829,ISP
Kenwood Academy High School,609746,Network 17
Charles Kozminski Elementary Community Academy,610030,Network 9
Francisco I Madero Middle School,610215,Network 7
Henry Clay Elementary School,609856,Network 13
Noble - DRW College Prep,400118,Charter
Frank I Bennett Elementary School,609800,Network 13
Ellen H Richards Career Academy High School,609682,Network 16
Instituto Health Sciences Career Academy,400104,Charter
YCCS-Virtual HS,400142,Options
CICS - Washington Park,400029,Charter
Whitney M Young Magnet High School,609755,ISP
Bernhard Moos Elementary School,610076,Network 5
Phoebe Apperson Hearst Elementary School,609981,Network 10
Rowe Elementary Charter School,400096,Charter
